answer,keywords
0,Number degree Fahrenheit Celsius legs yard math equator point Water times Total global begin standard true false Emily Dickinson Greenwich England Countries Strings Oscars Pauly Shore question tricky latitude olympics trivia president vowel bottom key typewriter algebra impossible divide american
1,number state flag equal Texas mathematics foot weight snail math total power science side pentagon House Difference Speeds Dromedaries Security Council cell vote music moon baroque alaska shaq delaware thick allocation quadrilateral care peat moss leaf generally official subsonic raise
2,Number Henry square math root years VIII state college measure standard flag science ride bicycle florida student ballet potpourri Minimum make love Unlike game player wings English Scrabble Cups Popsicle Doublemint Dale Evans Rogers East German African Cosby Final Chapter
3,number times state Total minimum sport ball Middle play leaf East electoral Poison Carlson Canadian Miss Americas John root square book musical math Richard point standard president Olympic divide trivia horse head Shakespeare continent life football round serve Island Parts
4,Number Total cards math game chambers make heart milk time World Olympic flush stomach weight side team standard player science sport president elect letters deck compartment begin days movie cell ball drink ronald reagan black Sound columbus buddha country homer
5,Number ballet math shakespeare baseball major people dalai musical question foot star standard Michele game year play peck century Hollywood flag Pacific Ocean Minnie Minoso Stairsteps Satins Electrical Band Emily Post English Roman Traditional Originally Marx Brothers Counting Torah Ballplayer
6,Number Total David double Magen Ireland side legs star roll foot League cell Supreme iroquois math Dakotas Carolinas Chinese Republic Northern Kikar CTVRTLIK English Assuming Squares Brady Bunch Braille February Mike Judaism Greek John Sofia Valley Court days pocket table
7,Number years words flag giraffe neck stripes star make Arabian Supreme Traditionally Cibola Spanish Coronado Elizabeth Taylor Officially Sullivan French Palm Sunday Easter NASA United Nights Sinbad Luke Mary Magdalene Hollywood Squares Mercury Heptameter Lawrence Pillars Wisdom Court Roman people
8,Number Hanukkah Jewish days musical legs ireland Noah Total bible sign math stop festival Freshmen Preps Irish Ford Beatles Dick Patten Passover Bradford strings mandolin oar game gill minivan side standard digit justice work Supreme Court Christmas cube average people
9,number beethoven court supreme Total days American complete square John symphony music novena prayer jane salem kennedy Lady Mahler innings century witch cloud nickname write size devotion stabilize game baseball star flag multiply people feline happiness hole March Congress Judiciary
10,Number team Derek bill math game Constitution Goats Gruff Pigs Goldilocks Hoyle Mississippi River Numerical Force Navarone Harrison Canada Richardson Fast-pitch people geography part lacrosse player Congress Sundays measure card standard Mohs President Syllables Monica Roman minutes perfect veto exclude
11,Number Apollo columbia Moja player cricket mission Moon Louisville Danny Ocean Vegas Continue math kumi soccer team field game side root square roll craps year Spinal space equal speak cards dice throw command module nickname sport hockey formula herb lock
12,number face game Total standard math measure Hercules roll Jesus weight dice player USSR Legal Sara Coleridge Greek Dodecanese Olympics checkers troy common perform ounce cards mathematics trillion dot state wife labor time pound musical System American lowest denominator deck
13,number flag dozen Confederacy arrow Supper teens star baker Seal magazine louis unlucky Total Great stripes Triskaidekaphobia fear American prime fillmore Friday Revolution England Luckily Ellery Queen Mystery Leonardo OPEC Bars Babylonians Constitution Valhalla civil code amendment square root attend
14,Number line teens measure sonnet ultra equal fortnight England High Frequency Elizabeth Barrett Browning Woodrow Wilson Points Allied Petrarchan Italian British stone pound days poem carbon weight Shakespearean start love thee mozart dating rithmetic root total unit people science band
15,number Island Treasure math flag game teens dead chest pirate stripes Kentucky girl anne frank jane grey point sonnet star quinceanera Standard easy root polygon side sing square board player football divide minutes beaver Security Council Fried Chicken Roman Latina
16,Number Total French game chess teens girl sweet pawn math found song traditional measure weight party koala Louis Revolution Biggest Nintendo Super Ringo Starr Chuck Berry pool ball shop make times birthday driver high string sequence dream peach lip strawberry
17,number haiku apollo syllable Vegas teens patent movie probability total President sequence standard song compare mathematics prime math years call minimum age blackjack dealer soft mission floor card Perry Japanese R-rated Strip Stalag Cats Sexy America Start Music Liesl Playing
18,Number minimum voting math inch half state kentucky Gold lower parental amendment Constitution consent yard karat Georgia Selective slice draft Bulgaria Colorado July Leon Uris marry mathematics Mila title make hole heller degree bride history congress pure battery groom couple
19,number President Decennoval hayes refer century salute relax Stones Nervous Prince Vice Constitution teens Elizabeth Mary Queen Scots Rolling Breakdown Lady Diana Adele cabinet engage amendment album years imprison fire arrival speaker house musical royal family gun rutherford serve drink
20,number score foot Starbucks Canadian years measure sesame street math game chart read weight human body visual acuity venti word test equal period regulation minutes ounce times epic English Judith Gardenier Myles Berkowitz National Hockey Crests Candles Boyz Season Loneliness
21,game number Card Street Customs salute state Approximate Dough Jeopardy Vegas numerical blackjack scout title tomb point movie show lapd restaurant alcohol grandma World bottom cover taking giant league boot difference monitor bring baseball adele years minimum ping-pong amendment film
23,number prime jordan michael skidoo equal digit Bulls Wizards Lord Shepherd Kristi Gram Pepper Tropic Cancer James biology round phrase single human sperm cell chromosome math class fact figure lowest consecutive psalm pick lotto birthday unique blend flavor musical walk
24,number Jack show Bauer Pure gold Sutherland Kiefer Palmer Drama karat David President Series hours episode Ritter Elisha Cuthbert Tony Almeida John Beep Secy Audrey clock sport math hands teenage daughter standard time denominator length solar common atomic weight lowest
25,Number Minimum Congressman House math Newlywed Representatives square state game fact adult government series figure percentage show point bonus question root football college team ball play mathematics Florida divide abbot boy Politics Yards Pacific Ocean Dave Clark Folds world orange
26,mile marathon Number constitution Olympic issue round Post Interestingly Etruscan Distance Jeopardy stupid game person kilometer yard answer basic shape Alpha-Bits ancient world earliest form letters business industry provide unemployment compensation maximum week begin calendar magazine fortnight year math long
30,number Europe Jones Industrial April Average math days year senate measure make Trust inch zodiac fact figure company include category reporter finish article time leap central side angle weight lowest amount piece pound story minutes film degree movie Berkeley Pilots
32,number teeth permanent Half human mouth ounce adult problem point compass story normal January Fahrenheit Centigrade Sandy Koufax Simpson Magic Johnson Tennessee Ernie Ford Tons Money Tickets Paradise Antoinette Billy Appropriately Freeze WFLD quart make swallow minutes spots game piece
35,president minimum sequence Pass Article Luke Perry constitution numbers eligible immanuel arm force birthday enlist require thirtysomething Andrew Johnson Senate amendment Prohibition United States Total person attain impeach single vote cast guilty vice math banning state-sponsored official religion slavery repeal
40,number days Jesus Lent Biblical resurrection Life Jake Jeff hours spend begin rain work list wilderness Mount devil wink acres fast half show time weather week thief walrus include Swithin July Heaven Christ Monday Friday Firms Wednesday American Casey Congressman
48,number star Jima Total flag States howdy presidential United Truman raise American Original Seal Jasper years picket edge problem play cards trivia wide work show Johns freckle equal increase dread fence cover length brush success salute pinochle deck school high
50,number American Simon july Paul Leave Lover Assn Retired Persons flag roll standard round minimum years cinderella song star join reaching fly Dyken penny Senior Tour NCAA math play sport celebrate time Army golden Italy Europe Pentamerone Canadian Celsius Fahrenheit
60,number Jamais math Contente Satisfied Babe Ruth minutes religion Senate american heart round mile roaring baseball approximate belong organize geography degree auto season home record lowest common train system Jan. total sexagesimal dozen filibuster multiple days World Babylonians Sunday Amer
90,degree Number angle math acres measure class buy problem Lucille Thompson North Divide Rickey Henderson woman sport earn kwon black belt opposite hypotenuse estate left mathematics radioactive isotope strontium atomic fallout found dread minute hand move acute obtuse non-right internal
100,Number Years Roman Garcia Marquez Solitude average score Total Round stock napoleon square mathematics money test antique nouvelles Eiffel July March Wilt Tower Austrian French C-note York Exchange Louis XVIII John World Book Greece Chamberlain Centennial Grimm Brothers Sleeping Beauty
180,degree number straight turn school angle geometry half circle time measure Amount Putting Dragon Michael Behave Inside American High cook mathematics runner dash days arms create reverse direction round complete opinion plane foot park ride move describe problem minute hand
300,Thermopylae game fathom Spartans film perfect vatican City number bowling score movie graphic Greek kegler measure polo yard Average Jeopardy Haakon Olav Harold Enjoy Hell History King Leonidas Gerard Butler Maximum Tricentennial Frank Miller Cottage Michael Fassbender Brady 2:50 minute
360,degree Number angle tower total geometry circle area code convex polygon exterior Olympia Bellingham Vancouver square side mathematics weight measure minute hand standard clock travel hour math toronto numerical revolve restaurant incredible view provide quadrilateral ready foosball illegal rotate rod
400,blows Title numbers Truffaut Leaud film Gold meter movie familiar Jean-Pierre Olympics Rome Francois Israelites Egypt Michael Johnson Inspired Quadricentennial years measure bucket covering buy player ancient denarii spend idiom wild oat strike close total captivity describe quadrigenarious equal sport
500,Cubbins Bartholomew number Seuss Standard Poor Roman Hats title total noah years index Brazil Portuguese NASCAR Winston Diehard Daytona Tennyson Valley Death Peace Quincentennial Proclaimers Miles senator bill buy celebrate discovery professional sport auto follow hundred digit charger literature close
911,dial number emergency Public Enemy phone Porsche joke prime Jan. July Nanny Massachusetts call model song text York City Sweden Carrera Britain announce equivalent nationwide standard history wheel quickly popular title group complain hear noise chest musical communication introduce service
1776,John Richard Henry Jefferson Musical year Lees gettysburg Virginia Ave Thomas Howard Tony-winning Martha Hancock June Nathan Hale Executed Spying Smith Wealth Steinwehr book numbers David song McCullough broadway article Continental Congress revolutionary Roman paine Philadelphia include movie publish historical
1789,year Bastille Revolution Washington France July storm time president constitution begin effect dollar Paris Thomas Jefferson James Madison Vive Service George Hobsbawm Congress marshal century front Estates-General meet ending mob america write quiet pierre plan create bill understatement inaugurate odd-numbered
1861,civil Year Union battle bull begin Alexander Czar history georgia jefferson davis senate alabama kansas free place secede January peasant Russia Southern President July April Fort Sumter left term siege boris serf surprise serfitude expulsion mind early major clash prime
1929,year crash market Black Oct. stock tuesday Great October Jones time bill price high history lost John Kenneth Galbraith Dewaele Tour France Coco Chanel Paris Sacre Bleu York Journal Experts Rising Industrial Average Leading Depression Monday plunge redesign currency book
1941,year Harbor Navy Bill Belushi John WWII Indianapolis star movie Hitler Moscow Yamamoto Green Valley Picture Citizen Kane Congress Reuben James Halloween Jimmy Clue Crew Speedway Hose Clamp Special Capt Wild Kelso America December Brothers Aykroyd Frank Knox Dec. Germany
1945,Year cold begin japan jima nuclear weapon time history end Soviet December June Nagasaki WWII United Nations October Experts Glenn Eisenstaedt Union Tiny Wake Island Pacific Sept. American Feb. Series Anne Frank century territory early found control foreign picture drop
1969,year Moon Woodstock music Vietnam walk Richard Fair Nixon White House July history president princeton World eisenhower number serviceman peak reach astronaut remember human quote Officially August Chicago Neil Armstrong Giant Leap Buzz Aldrin Jimi Hendrix Namath Jets Super Bowl
1984,Orwell Winston Smith year George Brother Ministry literature book Oceania Peace love publish April watching Truth return MCMLXXXIV Bush best-seller Newspeak olympic title O'Brien line Jeopardy Reagan Police list Freedom Slavery Ignorance Strength future torturer Burton Richard Thought classic Airstrip
2000,year leap election census times number presidential hold kid game show computer headline soap Bellamy Station Barring Gladiators Wheel Edward Backward Scientists Elian Gonzalez Cuba Lever Conan Clinton Senate International Space calendar conduct book unforeseen recurrence full title follow literature
101 dalmatians,Smith Dodie Cruella disney film Pongo animate dog tale classic brood flick live-action release villainess kidnap top-grossing Spot puppy Missis Birds Taylor Glenn Close Internet Database voice write Barking beast Patch Perdita Great Robbery Starlight Horrid found dalmatian litter steal
12 angry men,Guilty Juror Fonda Henry Jack drama Tony classic film play Reginald Rose Franklin Schaffner Emmy Warden direct Studio remake movie Danza Dozen courtroom cinema trial feature hold Sidney Lumet Dudes Patton Klugman Nope Initially Lemmon George Scott moviemakers words shorthand
20/20,normal John Stossel Hindsight vision visual show Muir test acuity Monday-morning Correspondents Chris Wallace Lynn Sherr Emmys Numerically Elizabeth Vargas David Billy Wilder Snellen number newsmagazine touch score hail quotation farewell prime close simple quarterback twentysomething designation start title week
2001: a space odyssey,Kubrick film movie Dave effects sci-fi black special monolith Arthur Clarke Stanley classic Frank visual Space character Academy Released Early years book mystery quote times Oscar Billion Pauline Kael Odyssey Richard Strauss Award Keir Dullea Poole Heywood Floyd Bowman Discovery
30 rock,show Tracy Donaghy Lemon Jack Jordan Tina persevere emmy sitcom Comedy cast Honky Grandma Kenneth dozens line Page character head title party building single Dropping numbers writer sketch-comedy maketh film event attend farmer viewers supporting Michaels Bowden Cerie Nickname Lutz
3m,Scotch company Minnesota tape Post-it product Paul make sandpaper parent note alphanumeric American Fortune business office symbol incorporate industry employee idea develop year begin mining corundum abrasive headquarter chemistry persist environment pull stock overthink sexy potpourri pleasure reflective material desk
3rd rock from the sun,Solomon Dick Sally Earth John sitcom Lithgow French Harry alien head Giant show Official Report Kristen Johnston Stewart Joseph Cleese Pluto Stone Counting System Albright Mars Venus woman television world series professor book episode physics feature film review guide dating
60 minutes,show Sunday season night magazine years history television Morley Safer time program move Hewitt Nixon slot back begin Minutes Wednesday Tuesdays 1992-93 ticking series episode debate journalist Internet Equatorial Guinea Jeopardy Nielsen James Kilpatrick Shana Alexander Toronto-born Humphrey Lesley Stahl
7 up,Uncola lithiated soda soft drink lemon-lime call bib-label make Orlando Jones Seagram Crown Splenda nonpotent potable originally campaign fruit quiz roaring debut sell famous lemon side clear folks cocktail combine whiskey real juice version special bubbly Heads alphanumeric launch calories
7-eleven,convenience store Gulp chain Double Corp Southland company soft drink gallon soda parent business hours July Tokyo NYSE Playboy coffee Undercover Boss answer opening symbol magazine well-publicized operation 24-7 mere subsidiary stupid announce exchange worldwide begin trading occur remove franchise
a,letter piano perfect Fish-liver Americans Duke Ellington Stress Musical vitamin science carrot vowel type roman middle initial important source require vertebrate bloodtype train prefix single psychology management program personality identify carotene supply key correspond math instrument tune cycle note common
a balloon,Montgolfier October Louis French Bros Pilatre Rozier Alan Shepard Malcolm Ross Leon Gambetta Paris aloft chair Verne back Weeks animal shape graphic woolly Jules make foot circle enclose comic strip character dialogue mile aviation transportation papermakers profession paper early wild
a bat,mammal flying animal species Chiroptera type fruit call order Bacardi native Blind micronesia fledermaus simile table tennis wing zoology flight large hanging club cricket wingspan creature bumblebee endanger Asian Join Hawaii William Collins Evening Kitti Tempest Shakespeare Amazon Stepping Stellaluna
a bear,animal virginia black carnivore Bern Callisto west brown cave switzerland Species fuzzy spectacled type include selling fall honey city seal flag cub Bond Called Varieties Lucerne Ursa Major American Shades Davy Crockett Winter Tale Exit Chiscau Romania Florida Corduroy Orso
a bee,hittite spelling make quilt sound letter competition Muhammad Yellow-banded Scripps Apis Entomological insect homophone gathering nature minimum inch flower pollinate hodgepodge myth find miss sort game hive seek beastly expression eccentric bonnet buggin small type trigona long stingless alphabet line
a beetle,insect type yeah animal Scarab click June Egypt Coleoptera Wedding Preparations Country Raban Goliath world dung species life african kingdom relate ancient tumblebug deposit eggs order kafka turn prey bombardier family Hercules South Scarabaeidae Named Darth Agathidium Dutch Wireworms vaderi
a bell,object shape Major sound word Pavlov John Hersey Victor Joppolo Italian Adano Hanging Emmanuel French Wall Street ballet toll time inside noisemaker sport musical close trivia begin boxer salivate science statistics normal distribution experiment produce curve obtain town simile fine
a bicycle,John parts Kirkpatrick Howard helsinki Front film build transportation vehicle pedal Early Object Italian Charles Daisy Vittorio Sica Antonio City Youth Hostel Frame Macmillan Dunlop Olympian Life Elliott Saddle Uber wheel classic steal small ride speed riding derailleur chain invention
a bird,bird fish mammal type creature bermuda animal snake monkey Arabian Nights Constantin Brancusi Simple Simon Fledgling French Evidence Archaeopteryx Twitter Fågel jungle martin titmouse killdeer spot myth legend oxpecker ride back giraffe odds end indigo bunting flag artist subject note
a black hole,John object Wheeler Cygnus event singularity star galaxy roger astronomy center science collapse Russians horizon blue supergiant Theoretically Andromeda Penrose Stephen Hawking Michell Archibald Karl Schwarzschild Sagittarius Crunch gravitational universe black escape hole light trap unseen powerful late paper discover
a buffalo,North Dakota animal Jamestown Africa Cape Kansas west type bovine coin Cody European Congo Southern Wyoming Oklahoma William Native George Catlin Assiniboine Pursuing Snowshoes statue flag Indian science boast circulate call wisent lighter mammal kind wild roadside claim large critter
a bull,animal critter Iowa Minotaur Ferdinand luther short workday sitting gain fame national large statue record circus male dangerous mythology love Toro Filius Boniface Lynch Audubon Zeus Europa Rock Chicago Arena Hungary Egri Bikaver Eger Cody Hancock Hercules Dirce Farnese Palace
a butterfly,insect Alexandra Queen Birdwing type wingspan large state hairstreak Colorado world Swallowtail beautiful foot purple blue pygmy inch Admiral Schaus Emma Livry Papillon Baltimore Checkerspot Maryland Gore Palm Beach California Microsoft Network Peking York Papua Guinea Latin early guess brush-footed
a camel,animal desert kingdom God rich enter mammal needle easy drink hump ship gallon milk chess call biblical creature travel Diego Guinness Bedouin Africa Asian Jesus Pharisees Blind Philadelphia Swahili Sahara Bactrian Deuteronomy Matthew Mark John Baptist Petra Abraham Isaac Echoing
a cardinal,bird jules Mazarin Roman Urban VIII Catholic Pope state raise archbishop Rodrigo office fish ecclesiastic family high church bright robe clergyman color march purple Musial February Cooke Chicago Francis George Germany Joseph Ratzinger Mahony Terence Ohio Kentucky April August Apogonidae
a cat,animal Egyptians pet type ancient sacred Persian Bast Devon white hunt book Beverly Cleary Socks Oscar breed ballet chat leap movement fish bird hoffmann house brown mammal orange eyes popular resemble cliche pigeon stir trouble fact goddess head painting blue
a chihuahua,breed Bell Toltecs small Taco Mexican nose world tiny state canine ave descend century techichi prize ancestor spokesdog guinness record length living inch tail pitchy tend wheeze short madison fennec pound Sadly Gigi dog Bruiser Legally Blonde Tequila Hoek Stimpson
a chorus line,broadway musical Hope April show Donna song Love dance opening Cassie Michael Bennett Priscilla Carole Bishop Sammy Williams Ballet SHUN audition theater Mirror cast original group McKechnie Kiss numbers Marvin Hamlisch Pulitzer singular sensation today goodbye step performance kick heel
a christmas carol,Dickens Marley line dead book Christmas Jacob Tiny Scrooge Cratchit begin classic bless holiday opera story December character feature film angel ghost observe work doubt version tale base end inspire ballet Fezziwig Patrick Stewart Thea Musgrave Ebenezer Mouse Goofy Comin
a clockwork orange,Burgess Anthony Alex Kubrick dystopian Nadsat book English Russian narrator film Ultra-violence Stanley Beethoven droogs combination colorful ban young british slang literature bring screen orange glad include interest write Malcolm CREW CARNAL Korova Milk Nasty Manchester Cockney Pete Georgie teen
a comet,Earth NASA space body Stardust astronomy Maria tail Mitchell celestial Halley meteor probe mile Jan. Jupiter woman November Wild Deep Impact Perseid century Encke Greek July Rosetta orbit science traveler spacecraft Philae million shower famous discover dust nucleus universe horace
a compass,point sharp device circle type pencil bowl instrument magnetic Knight water Aircraft Middle Ages Gowin Chinese Huang-ti general science putting north confuse end make floating cork iphone tool similar needle Dividers development gyro unaffected local fields center swing mapmakers map
a connecticut yankee in king arthur's court,Twain Mark Camelot Chapter Merlin Morgan Hank literature Bing Bridgeport Connecticut Crosby Englander Errantry Trade knight time remember book wake line begin hearing american satirize head back yankee bicycle century pseudo text transfer horse chivalry hero entitle narrator mistake screen
a cow,animal Jack jersey bovine give female grow bean beanstalk Wayne Kremlinville moose kiddie jump William Howard Taft White Pauline Bart Simpson Ballad Thin bull fell section breed make love farm creature magic trade Milky-White exchange rhyme measly candelstick generation calf
a crab,crustacean spider type species foot Catch June measure claw Japanese Jonah Cancroid Deadliest soft-shell grab blue robber shellfish snow life bivalve birthday variety backwards fiddler roof clomp grouch serving symbol zodiac sign marine biology large sushi roll seafood tonight recommend
a diamond,Arkansas Twinkle Mohs Victoria gem Star call shape bort ballas good hard rough ring baseball Smithson Issued Visitors high found natural form carbonado jewel quality commemorate Princess Beers Jahan Ranjit Queen Tennant Jubilee Pink Panther Proverbially America science substance hardness
a dog,animal brussels Type York Rabbit fashion potpourri shar-pei robot fight mayor Sputnik Bouvier Flandres Fair Elektro Sparko Forgea Mark Twin Germans Vietnamese Hash Kentucky Goofy size World dyslexic agnostic history technology ending tugboat contest novella accessory friend space saluki purebred
